FID;OBJECTID;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;STRZUSTAND;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstig;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;UIDENTSTLA;LICHT;OBJECTID_1
6188.0;6189.0;2;6;2;603;2016;4;15;2;3;5;2;0.0;0;1;1;0;0;0.0;0;582353.394399999990000;5926138.468299999800000;10.240903380000001;53.477779904000002;;;
6572.0;6573.0;2;4;2;405;2016;2;15;4;3;5;2;0.0;0;1;1;0;0;0.0;0;565114.366000000040000;5939258.010700000500000;9.983922804000001;53.598103684000002;;;
6589.0;6590.0;2;4;8;418;2016;3;14;6;3;6;7;0.0;0;1;0;1;0;0.0;0;567467.747500000060000;5937257.759899999900000;10.019045340000000;53.579829556000000;;;
6606.0;6607.0;2;3;6;318;2016;3;13;7;3;5;2;0.0;1;1;1;0;0;0.0;0;562842.417900000000000;5941421.184999999600000;9.950033651000000;53.617822046999997;;;
6695.0;6696.0;2;2;9;221;2016;1;8;6;3;3;2;2.0;1;1;1;0;0;0.0;0;555294.017299999950000;5936479.404400000300000;9.835057024999999;53.574258757000003;;;
6713.0;6714.0;2;2;9;221;2016;3;7;5;3;6;7;1.0;0;1;0;1;0;0.0;0;556646.842799999980000;5936244.399600000100000;9.855442455000000;53.572002298999998;;;
6760.0;6761.0;2;6;1;601;2016;2;7;5;3;5;3;2.0;1;1;1;0;0;0.0;0;579723.538799999980000;5927621.036000000300000;10.201662876000000;53.491508154999998;;;
6873.0;6874.0;2;6;2;603;2016;3;15;3;3;5;3;0.0;0;1;1;0;0;0.0;0;580837.839999999970000;5927155.464999999900000;10.218334535000000;53.487154216999997;;;
6926.0;6927.0;2;1;4;111;2016;3;15;7;3;5;3;0.0;0;1;1;0;0;0.0;0;563892.195300000020000;5934516.983500000100000;9.964487554000000;53.555645155999997;;;
6947.0;6948.0;2;3;1;306;2016;4;16;3;3;5;2;0.0;1;1;1;0;0;0.0;0;563298.670799999960000;5936155.365700000000000;9.955861281000001;53.570441733000003;;;
7056.0;7057.0;2;4;6;415;2016;3;18;6;2;5;3;2.0;0;1;1;0;0;0.0;0;568258.232599999990000;5935880.042100000200000;10.030681685999999;53.567345580999998;;;
7138.0;7139.0;2;3;1;306;2016;1;14;6;3;5;7;0.0;0;1;0;0;0;0.0;1;563487.752499999940000;5936513.334599999700000;9.958788908000001;53.573636061999999;;;
7233.0;7234.0;2;3;6;318;2016;3;8;3;3;5;3;0.0;0;1;1;0;0;0.0;0;563039.870099999940000;5940895.477099999800000;9.952911819000001;53.613073649000000;;;
7541.0;7542.0;2;4;7;417;2016;2;10;4;3;5;3;0.0;1;1;1;0;0;0.0;0;568445.573899999960000;5935626.913599999600000;10.033454524000000;53.565046285000001;;;
7567.0;7568.0;2;7;9;710;2016;3;7;3;3;5;3;0.0;0;1;1;0;0;0.0;0;564201.057000000030000;5922755.640499999700000;9.966741237000001;53.449903769000002;;;
7578.0;7579.0;2;2;13;226;2016;1;20;5;3;5;2;2.0;1;1;1;0;0;0.0;0;553618.762600000020000;5936885.133800000000000;9.809829626999999;53.578079221000003;;;
7715.0;7716.0;2;4;4;407;2016;1;8;6;3;5;3;0.0;0;1;1;0;0;0.0;0;565501.723600000030000;5940129.921199999700000;9.989958306000000;53.605891431000003;;;
7772.0;7773.0;2;2;5;215;2016;3;8;5;3;4;6;0.0;0;1;0;0;0;0.0;0;561398.805999999980000;5935371.445000000300000;9.927021883000000;53.563622103999997;;;
7777.0;7778.0;2;3;4;316;2016;2;12;5;3;3;2;0.0;1;1;1;0;0;0.0;0;563848.187700000010000;5937274.027900000100000;9.964386918000001;53.580428883000003;;;
7952.0;7953.0;2;2;6;218;2016;3;16;4;3;5;3;0.0;0;1;1;0;0;0.0;0;559192.787099999960000;5935654.617600000500000;9.893772782999999;53.566420573999999;;;
8042.0;8043.0;2;4;6;415;2016;2;19;1;3;3;6;2.0;1;1;1;0;0;0.0;0;568318.965600000000000;5935798.598399999600000;10.031580762999999;53.566605733999999;;;
8058.0;8059.0;2;4;5;412;2016;3;14;2;3;5;2;0.0;0;1;1;0;0;0.0;0;567472.849999999980000;5937631.070000000300000;10.019203102000001;53.583183884000000;;;
8115.0;8116.0;2;2;3;209;2016;3;13;6;3;6;7;0.0;1;1;0;1;0;0.0;0;562520.468499999960000;5935940.850100000400000;9.944068615999999;53.568607118000003;;;
8250.0;8251.0;2;3;1;307;2016;2;15;6;3;5;3;0.0;0;1;1;0;0;0.0;0;563218.254900000060000;5936186.512799999700000;9.954653426000000;53.570731358000003;;;
8302.0;8303.0;2;7;14;715;2016;4;16;2;2;4;1;0.0;0;1;1;0;0;0.0;0;555327.888999999970000;5925065.497399999800000;9.833552130999999;53.471670611000000;;;
8335.0;8336.0;2;4;2;403;2016;3;18;1;3;0;1;1.0;0;1;0;0;0;0.0;0;565119.959000000030000;5938891.337500000400000;9.983930728000001;53.594807623999998;;;
8375.0;8376.0;2;1;6;117;2016;2;8;3;3;0;7;0.0;0;1;1;1;0;0.0;0;568027.497800000010000;5933953.203200000300000;10.026778847999999;53.550058778999997;;;
8393.0;8394.0;2;4;2;403;2016;1;17;7;3;5;2;2.0;1;1;1;0;0;0.0;0;565123.880699999980000;5938632.767799999600000;9.983935979000000;53.592483319000003;;;
8394.0;8395.0;2;1;6;117;2016;3;15;3;3;3;2;0.0;0;1;0;0;0;0.0;1;568057.755499999970000;5933097.195399999600000;10.027049193000000;53.542361782000000;;;
8404.0;8405.0;2;7;14;715;2016;7;15;2;3;5;2;0.0;0;1;1;0;0;0.0;0;556419.474200000060000;5925191.216599999900000;9.850018212000000;53.472684708000003;;;
8406.0;8407.0;2;2;9;221;2016;5;17;2;3;4;2;0.0;1;1;1;0;0;0.0;0;556406.258200000040000;5936282.271200000300000;9.851816592000001;53.572368593999997;;;
8407.0;8408.0;2;3;5;317;2016;6;13;2;3;3;2;0.0;0;1;1;0;0;0.0;0;563958.537999999940000;5938920.993900000100000;9.966391076000001;53.595217148000003;;;
8424.0;8425.0;2;1;4;111;2016;9;10;6;3;5;3;0.0;0;1;1;0;0;0.0;0;564245.536800000000000;5933989.237900000100000;9.969712146999999;53.550859021999997;;;
8433.0;8434.0;2;4;5;409;2016;8;16;2;3;5;3;0.0;0;1;0;0;1;0.0;0;566233.518000000040000;5938712.396900000100000;10.000715260000000;53.593059940000003;;;
8436.0;8437.0;2;1;6;117;2016;9;5;3;3;3;2;2.0;0;1;1;0;0;0.0;0;568142.364100000010000;5933707.111399999800000;10.028458660000000;53.547832219999997;;;
8440.0;8441.0;2;1;7;120;2016;7;8;2;3;3;6;0.0;0;1;1;0;0;1.0;0;568002.221099999970000;5934495.136300000400000;10.026515275000000;53.554932487000002;;;
8446.0;8447.0;2;2;5;215;2016;6;10;6;3;5;3;0.0;1;1;1;0;0;0.0;0;561355.350199999990000;5935375.264600000300000;9.926366615999999;53.563661515000000;;;
8453.0;8454.0;2;4;5;410;2016;10;14;3;3;6;6;0.0;0;1;0;1;0;0.0;0;567244.013799999960000;5938244.663200000300000;10.015879282000000;53.588727716999998;;;
8481.0;8482.0;2;1;1;102;2016;9;9;5;3;6;3;0.0;0;1;0;1;0;0.0;0;565687.158799999980000;5933604.468999999600000;9.991387401000001;53.547222625000003;;;
8482.0;8483.0;2;3;5;317;2016;9;22;3;3;0;7;2.0;0;1;0;1;0;0.0;0;563738.594999999970000;5939516.324000000000000;9.963190034000000;53.600594321000003;;;
8486.0;8487.0;2;3;7;319;2016;8;16;2;3;5;3;0.0;0;1;1;0;0;0.0;0;560238.058899999950000;5943542.066900000000000;9.911077777999999;53.637189145000001;;;
8494.0;8495.0;2;4;5;412;2016;11;0;7;3;0;7;2.0;0;1;0;1;0;0.0;0;567353.234500000020000;5938017.103400000400000;10.017479905000000;53.586668590999999;;;
8502.0;8503.0;2;3;4;316;2016;5;8;6;3;3;2;0.0;0;1;0;0;0;0.0;0;564177.143000000040000;5937706.897599999800000;9.969443819000000;53.584279045000002;;;
8505.0;8506.0;2;3;1;306;2016;5;8;6;3;4;6;0.0;0;1;0;0;0;0.0;0;563016.149500000060000;5936317.088100000300000;9.951628262000000;53.571929193999999;;;
8508.0;8509.0;2;2;3;209;2016;7;18;6;3;3;2;0.0;1;1;1;0;0;0.0;0;562621.204499999990000;5935315.431099999700000;9.945464146999999;53.562974247000000;;;
8523.0;8524.0;2;3;7;319;2016;10;11;1;3;5;3;0.0;0;1;1;0;0;0.0;0;559958.435799999980000;5944865.540099999900000;9.907104374999999;53.649115741000003;;;
8524.0;8525.0;2;1;3;106;2016;9;15;3;3;4;6;0.0;0;1;0;0;0;0.0;0;564546.253299999980000;5933852.224700000100000;9.974222112000000;53.549590760999997;;;
8525.0;8526.0;2;1;4;110;2016;9;23;7;3;1;5;2.0;0;1;1;0;0;0.0;0;563610.868600000050000;5934989.147599999800000;9.960337530000000;53.559922812000003;;;
8532.0;8533.0;2;4;4;407;2016;7;8;5;3;5;2;0.0;0;1;0;0;0;0.0;1;565619.996399999950000;5940295.655600000200000;9.991780424000000;53.607366114999998;;;
8533.0;8534.0;2;7;14;715;2016;7;19;4;3;6;7;0.0;0;1;0;1;0;0.0;0;555715.600300000050000;5925132.231499999800000;9.839404414000001;53.472229517999999;;;
8536.0;8537.0;2;2;9;221;2016;5;16;5;3;5;2;0.0;0;1;1;0;0;0.0;0;556047.743800000050000;5936334.063000000100000;9.846412450000001;53.572872500999999;;;
8543.0;8544.0;2;3;5;317;2016;6;16;7;3;5;3;0.0;0;1;1;0;0;0.0;0;563774.534100000050000;5939450.919800000300000;9.963719665999999;53.600002144999998;;;
8555.0;8556.0;2;2;5;215;2016;11;17;3;3;3;2;2.0;1;1;1;0;0;0.0;0;561329.674699999970000;5935377.343200000000000;9.925979420999999;53.563683197000003;;;
8556.0;8557.0;2;7;1;702;2016;6;8;5;3;5;3;0.0;0;1;1;0;0;0.0;0;565340.509100000020000;5924223.900200000000000;9.984201482000000;53.462959568000002;;;
8569.0;8570.0;2;2;12;225;2016;9;7;2;3;2;6;0.0;0;1;0;0;0;0.0;0;553875.620800000030000;5936848.470200000300000;9.813702321999999;53.577723380999998;;;
8570.0;8571.0;2;3;9;321;2016;9;7;2;3;5;2;1.0;1;1;1;0;0;0.0;0;562072.497600000000000;5936880.415000000000000;9.937491959000001;53.577104511000002;;;
8571.0;8572.0;2;1;4;111;2016;5;19;4;3;4;7;0.0;0;1;0;0;0;0.0;0;563850.827700000020000;5934762.397699999600000;9.963913319000000;53.557855803999999;;;
8577.0;8578.0;2;4;7;417;2016;8;13;5;3;5;2;0.0;0;1;1;0;0;0.0;0;568392.582000000050000;5935698.799999999800000;10.032670284000000;53.565699244999998;;;
8579.0;8580.0;2;3;1;307;2016;8;17;6;3;4;6;0.0;0;1;0;0;0;0.0;0;563135.491000000040000;5936235.042100000200000;9.953413617000001;53.571177472000002;;;
8580.0;8581.0;2;3;1;304;2016;10;19;7;3;5;3;2.0;1;1;1;0;0;0.0;0;562505.558300000030000;5936162.519799999900000;9.943887867000001;53.570601117000002;;;
8583.0;8584.0;2;1;3;106;2016;5;9;4;3;3;6;0.0;0;1;1;0;1;0.0;0;564296.097900000050000;5933951.359199999800000;9.970467399000000;53.550512404999999;;;
8595.0;8596.0;2;3;4;316;2016;7;9;5;3;6;6;0.0;0;1;0;1;0;0.0;0;563959.110100000050000;5937418.027800000300000;9.966091580000001;53.581709533000001;;;
8599.0;8600.0;2;4;4;407;2016;6;9;6;3;5;2;0.0;0;1;1;0;0;0.0;0;565294.139399999990000;5939772.388700000000000;9.986746598000000;53.602704131000003;;;
8613.0;8614.0;2;2;5;216;2016;8;18;3;2;5;2;0.0;0;1;1;0;0;0.0;0;559620.803100000020000;5935508.001100000000000;9.900206691999999;53.565054406999998;;;
8625.0;8626.0;2;7;13;714;2016;10;11;6;2;5;2;0.0;1;1;1;0;0;0.0;0;558659.291300000040000;5925155.783499999900000;9.883752454000000;53.472121477000002;;;
8630.0;8631.0;2;2;3;209;2016;8;18;4;3;5;3;0.0;0;1;1;0;0;0.0;0;562346.309400000030000;5935378.597400000300000;9.941326962000000;53.563574674999998;;;
8631.0;8632.0;2;4;6;415;2016;8;16;5;2;5;3;0.0;1;1;1;0;0;0.0;0;568042.462900000040000;5936163.242300000000000;10.027485891000000;53.569918760000000;;;
8635.0;8636.0;2;4;6;414;2016;8;14;4;3;1;5;0.0;0;1;0;0;0;0.0;1;567643.420300000000000;5936715.952800000100000;10.021580868999999;53.574937640999998;;;
8637.0;8638.0;2;1;8;125;2016;8;14;4;3;5;3;0.0;1;1;1;0;0;0.0;0;570602.854700000030000;5933997.624599999700000;10.065652997000001;53.550118011000002;;;
8643.0;8644.0;2;2;9;221;2016;7;12;4;3;3;2;0.0;0;1;1;0;0;0.0;0;556047.218200000000000;5936334.055100000500000;9.846404511999999;53.572872486999998;;;
8654.0;8655.0;2;2;5;216;2016;11;10;3;2;4;6;0.0;1;1;0;0;0;0.0;0;560409.700100000020000;5935565.819199999800000;9.912127677999999;53.565483819999997;;;
8657.0;8658.0;2;2;6;218;2016;6;9;5;3;3;2;0.0;0;1;0;0;0;0.0;1;558083.371999999970000;5936040.093000000300000;9.877095194000001;53.570009014999997;;;
8658.0;8659.0;2;2;9;221;2016;10;6;5;3;5;2;2.0;1;1;1;0;0;0.0;0;555411.088200000000000;5936440.128499999600000;9.836817867000001;53.573893408000004;;;
8663.0;8664.0;2;3;5;317;2016;12;16;6;3;5;3;1.0;1;1;1;0;0;0.0;0;563617.245000000000000;5939999.455000000100000;9.961455137000000;53.604951084000000;;;
8669.0;8670.0;2;2;3;209;2016;10;17;6;3;5;3;0.0;0;1;1;0;0;0.0;0;562366.492300000040000;5935375.131000000100000;9.941630954000001;53.563541123000000;;;
8671.0;8672.0;2;7;13;714;2016;9;7;4;3;5;3;0.0;0;1;1;0;0;0.0;0;558963.153999999980000;5925140.607300000300000;9.888326955000000;53.471951138999998;;;
8677.0;8678.0;2;2;9;221;2016;8;18;2;3;5;3;0.0;1;1;0;0;0;0.0;0;556050.190300000020000;5936334.099299999900000;9.846449398000001;53.572872566000001;;;
8680.0;8681.0;2;7;14;715;2016;7;10;2;3;5;2;0.0;0;1;1;0;0;0.0;0;556418.985100000050000;5925191.250300000400000;9.850010851000000;53.472685063000000;;;
8682.0;8683.0;2;4;5;411;2016;9;7;3;3;6;7;0.0;0;1;0;1;0;0.0;0;567398.111500000000000;5937900.133700000100000;10.018132460000000;53.585611604000000;;;
8686.0;8687.0;2;1;4;111;2016;7;9;2;3;4;3;0.0;0;1;0;0;0;0.0;0;564059.415900000020000;5934140.474100000200000;9.966934293000000;53.552240970000000;;;
8694.0;8695.0;2;3;1;304;2016;6;10;2;3;5;3;0.0;1;1;1;0;0;0.0;0;562153.360499999950000;5936726.968799999900000;9.938682517000000;53.575715860999999;;;
8695.0;8696.0;2;6;1;601;2016;11;7;4;3;5;3;1.0;0;1;1;0;0;0.0;0;579768.552799999950000;5927587.541400000500000;10.202332688000000;53.491200325999998;;;
8699.0;8700.0;2;7;9;710;2016;7;16;4;3;1;5;0.0;0;1;1;0;0;0.0;0;563634.970800000010000;5922395.827300000000000;9.958145629000001;53.446738615000001;;;
8700.0;8701.0;2;4;4;407;2016;6;23;6;2;5;3;2.0;0;1;1;0;0;0.0;0;565340.681199999990000;5939831.940200000100000;9.987462323000001;53.603233529999997;;;
8705.0;8706.0;2;3;5;317;2016;7;9;3;2;5;3;0.0;0;1;1;0;0;1.0;0;564094.896500000030000;5938027.671600000000000;9.968267513000001;53.587171982999998;;;
8716.0;8717.0;2;4;6;414;2016;7;9;2;3;5;3;0.0;0;1;1;0;0;0.0;0;567471.129500000040000;5937325.770600000400000;10.019111114999999;53.580440342000003;;;
8717.0;8718.0;2;3;1;304;2016;6;17;4;3;5;3;0.0;0;1;1;0;0;0.0;0;562799.774100000040000;5936481.472699999800000;9.948394256000000;53.573432517999997;;;
8719.0;8720.0;2;4;6;415;2016;6;18;4;3;5;3;0.0;0;1;1;0;0;0.0;0;568306.416300000040000;5935815.621500000400000;10.031395031000001;53.566760356000003;;;
8721.0;8722.0;2;2;3;208;2016;10;18;5;3;0;7;2.0;0;1;0;0;0;0.0;0;563063.457199999950000;5935198.874499999900000;9.952116809000000;53.561873757000001;;;
8727.0;8728.0;2;3;1;306;2016;12;17;1;3;5;3;2.0;1;1;1;0;0;0.0;0;562942.603099999950000;5936383.109299999700000;9.950531088000000;53.572531376999997;;;
8735.0;8736.0;2;3;6;318;2016;5;16;6;3;0;3;0.0;0;1;1;0;0;0.0;0;563350.994599999980000;5940634.253999999700000;9.957560941000001;53.610688439999997;;;
8745.0;8746.0;2;4;3;406;2016;6;18;6;3;5;2;0.0;0;1;1;0;0;0.0;0;565301.444400000040000;5939849.094600000400000;9.986873046000000;53.603392589999999;;;
8746.0;8747.0;2;1;4;111;2016;11;2;7;3;3;2;2.0;0;1;1;0;0;0.0;0;563985.821099999940000;5934237.745400000400000;9.965843509999999;53.553124152999999;;;
8754.0;8755.0;2;1;7;120;2016;5;18;5;3;3;2;0.0;0;1;0;0;0;0.0;1;568810.128099999970000;5935002.207600000300000;10.038820335000000;53.559384313999999;;;
8755.0;8756.0;2;4;3;406;2016;5;15;2;3;5;2;0.0;0;1;1;0;0;0.0;0;566113.902299999960000;5940930.798600000300000;9.999378853000000;53.613012144000002;;;
8757.0;8758.0;2;3;1;305;2016;6;19;4;3;0;3;0.0;0;1;0;0;0;0.0;1;563698.580899999940000;5936981.828300000200000;9.962067921999999;53.577820993000003;;;
8758.0;8759.0;2;2;9;221;2016;5;8;5;3;3;6;0.0;0;1;0;0;0;0.0;0;557014.761300000010000;5936232.936400000000000;9.860995732999999;53.571859416999999;;;
8761.0;8762.0;2;1;8;121;2016;7;20;5;3;4;6;0.0;0;1;0;0;0;0.0;0;568851.578400000000000;5934847.000699999700000;10.039411800000000;53.557984017999999;;;
8767.0;8768.0;2;4;2;403;2016;5;20;5;2;4;3;0.0;0;1;1;0;0;0.0;0;565119.609100000000000;5938907.460199999600000;9.983928809000000;53.594952566000003;;;
8770.0;8771.0;2;1;8;124;2016;12;18;4;3;0;2;2.0;0;1;1;0;0;0.0;0;568938.598200000010000;5934439.990799999800000;10.040635482000001;53.554314757000000;;;
8777.0;8778.0;2;7;1;701;2016;9;16;2;3;3;2;0.0;0;1;1;0;0;0.0;0;564944.006399999950000;5924419.432500000100000;9.978270459000001;53.464765937000003;;;
8799.0;8800.0;2;2;9;221;2016;8;15;5;3;5;3;0.0;0;1;1;0;0;0.0;0;556259.629300000030000;5936312.821399999800000;9.849608054000001;53.572658910999998;;;
8801.0;8802.0;2;4;6;414;2016;7;8;5;3;6;7;0.0;0;1;0;1;0;0.0;0;567486.115200000000000;5936939.376699999900000;10.019253888000000;53.576965842000000;;;
8808.0;8809.0;2;2;3;209;2016;11;15;3;3;3;2;0.0;0;1;0;0;0;0.0;1;562558.344999999970000;5935569.301199999600000;9.944566061000000;53.565263364000003;;;
8834.0;8835.0;2;1;7;119;2016;12;10;3;3;3;6;0.0;0;1;1;0;0;0.0;0;567949.924299999960000;5934309.587200000000000;10.025685645999999;53.553271701000000;;;
8842.0;8843.0;2;3;9;321;2016;6;23;2;3;4;2;2.0;0;1;1;0;0;0.0;0;561876.129700000050000;5937261.890800000200000;9.934602234000000;53.580556170999998;;;
8843.0;8844.0;2;4;5;412;2016;12;12;2;3;5;3;0.0;0;1;1;0;0;0.0;0;567477.795500000010000;5937603.868700000500000;10.019271911000001;53.582938786000000;;;
8863.0;8864.0;2;3;6;318;2016;7;8;6;3;5;3;0.0;1;1;1;0;0;0.0;0;563041.422000000020000;5940894.085599999900000;9.952934993000000;53.613060955999998;;;
8877.0;8878.0;2;1;3;107;2016;10;16;2;3;4;6;0.0;1;1;0;0;0;0.0;0;565090.440999999990000;5933749.440399999700000;9.982413036000001;53.548599830000001;;;
8889.0;8890.0;2;3;1;305;2016;9;7;6;3;6;6;0.0;0;1;0;1;0;0.0;0;563526.938599999990000;5936623.860100000200000;9.959403090000000;53.574624643999996;;;
8890.0;8891.0;2;3;1;306;2016;6;14;6;3;5;3;0.0;0;1;1;0;0;0.0;0;563081.607800000000000;5936268.201399999700000;9.952606744000001;53.571481966999997;;;
8892.0;8893.0;2;2;5;216;2016;5;10;5;3;5;3;0.0;0;1;1;0;0;0.0;0;559634.362199999970000;5935489.956000000200000;9.900407947000000;53.564890687000002;;;
8901.0;8902.0;2;2;3;208;2016;6;23;1;3;1;5;2.0;0;1;1;0;0;0.0;0;563046.400400000040000;5935202.509100000400000;9.951860062000000;53.561908471999999;;;
8909.0;8910.0;2;2;3;208;2016;6;15;2;3;6;7;0.0;0;1;0;1;0;0.0;0;562987.801699999950000;5935214.842799999800000;9.950977972000000;53.562026355000000;;;
8911.0;8912.0;2;3;1;306;2016;6;15;5;3;5;7;0.0;0;1;0;0;0;0.0;0;563519.638799999960000;5936600.296900000400000;9.959288070000000;53.574413757999999;;;
8912.0;8913.0;2;3;6;318;2016;10;8;5;3;0;6;0.0;1;1;0;0;0;0.0;0;562993.048199999960000;5940944.409300000400000;9.952214060999999;53.613519048000001;;;
