,OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,STRZUSTAND,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,UIDENTSTLA,lat_short,long_short
8394,8395,2,1,6,117,2016,3,15,3,3,3,2,0,0,1,0,0,0,0.0,1,568057.755499999970000,5933097.195399999600000,10.027049193000000,53.542361782000000,,10.027,53.542
8404,8405,2,7,14,715,2016,7,15,2,3,5,2,0,0,1,1,0,0,0.0,0,556419.474200000060000,5925191.216599999900000,9.850018212000000,53.472684708000003,,9.85,53.473
8406,8407,2,2,9,221,2016,5,17,2,3,4,2,0,1,1,1,0,0,0.0,0,556406.258200000040000,5936282.271200000300000,9.851816592000001,53.572368593999997,,9.852,53.572
8407,8408,2,3,5,317,2016,6,13,2,3,3,2,0,0,1,1,0,0,0.0,0,563958.537999999940000,5938920.993900000100000,9.966391076000001,53.595217148000003,,9.966,53.595
8424,8425,2,1,4,111,2016,9,10,6,3,5,3,0,0,1,1,0,0,0.0,0,564245.536800000000000,5933989.237900000100000,9.969712146999999,53.550859021999997,,9.97,53.551
8433,8434,2,4,5,409,2016,8,16,2,3,5,3,0,0,1,0,0,1,0.0,0,566233.518000000040000,5938712.396900000100000,10.000715260000000,53.593059940000003,,10.001,53.593
8436,8437,2,1,6,117,2016,9,5,3,3,3,2,2,0,1,1,0,0,0.0,0,568142.364100000010000,5933707.111399999800000,10.028458660000000,53.547832219999997,,10.028,53.548
8440,8441,2,1,7,120,2016,7,8,2,3,3,6,0,0,1,1,0,0,1.0,0,568002.221099999970000,5934495.136300000400000,10.026515275000000,53.554932487000002,,10.027,53.555
8446,8447,2,2,5,215,2016,6,10,6,3,5,3,0,1,1,1,0,0,0.0,0,561355.350199999990000,5935375.264600000300000,9.926366615999999,53.563661515000000,,9.926,53.564
8453,8454,2,4,5,410,2016,10,14,3,3,6,6,0,0,1,0,1,0,0.0,0,567244.013799999960000,5938244.663200000300000,10.015879282000000,53.588727716999998,,10.016,53.589
8481,8482,2,1,1,102,2016,9,9,5,3,6,3,0,0,1,0,1,0,0.0,0,565687.158799999980000,5933604.468999999600000,9.991387401000001,53.547222625000003,,9.991,53.547
8482,8483,2,3,5,317,2016,9,22,3,3,0,7,2,0,1,0,1,0,0.0,0,563738.594999999970000,5939516.324000000000000,9.963190034000000,53.600594321000003,,9.963,53.601
8486,8487,2,3,7,319,2016,8,16,2,3,5,3,0,0,1,1,0,0,0.0,0,560238.058899999950000,5943542.066900000000000,9.911077777999999,53.637189145000001,,9.911,53.637
8494,8495,2,4,5,412,2016,11,0,7,3,0,7,2,0,1,0,1,0,0.0,0,567353.234500000020000,5938017.103400000400000,10.017479905000000,53.586668590999999,,10.017,53.587
8502,8503,2,3,4,316,2016,5,8,6,3,3,2,0,0,1,0,0,0,0.0,0,564177.143000000040000,5937706.897599999800000,9.969443819000000,53.584279045000002,,9.969,53.584
8505,8506,2,3,1,306,2016,5,8,6,3,4,6,0,0,1,0,0,0,0.0,0,563016.149500000060000,5936317.088100000300000,9.951628262000000,53.571929193999999,,9.952,53.572
8508,8509,2,2,3,209,2016,7,18,6,3,3,2,0,1,1,1,0,0,0.0,0,562621.204499999990000,5935315.431099999700000,9.945464146999999,53.562974247000000,,9.945,53.563
8523,8524,2,3,7,319,2016,10,11,1,3,5,3,0,0,1,1,0,0,0.0,0,559958.435799999980000,5944865.540099999900000,9.907104374999999,53.649115741000003,,9.907,53.649
